"Name","Web","Email","quality","result","free","role"
"SG Embroidery","https://www.sg-embroidery.co.uk/","info@sg-embroidery.co.uk","good","ok","no","yes"
"Ace Embroidery Ltd","http://www.ace-embroidery.co.uk/","sales@ace-embroidery.co.uk","risky","catch_all","no","yes"
"Acore UK Ltd","http://acoreuk.com/","info@acoreuk.com","risky","catch_all","no","yes"
"Alleycatz Ltd","https://www.alleycatz.co.uk/","info@alleycatz.co.uk","good","ok","no","yes"
"Anglia Sports & Schoolwear Ltd","https://www.yourschoolwear.co.uk/","info@yourschoolwear.co.uk","bad","invalid","no","yes"
"APC Clothing Ltd","http://apc-clothing.co.uk/","sales@apc-clothing.co.uk","risky","catch_all","no","yes"
"Badged Uniform Warehouse","https://www.badged.co.uk/","info@badged.co.uk","risky","catch_all","no","yes"
"Banner Ltd","http://www.banner.co.uk","customerservice@banner.co.uk","good","ok","no","yes"
"Barsleys","https://barsleys.co.uk/","info@barsleys.co.uk","risky","catch_all","no","yes"
"Bradwards Ltd T/A Hole in The Wall","https://www.holeinthewall.shop/","info@holeinthewall.shop","bad","invalid","no","yes"
"Brand Monkey Promo Clothing","https://www.brandmonkey.co.uk/","hello@brandmonkey.co.uk","risky","catch_all","no","yes"
"C & D Uniforms Solutions","https://www.candduniform.co.uk/","info@candduniform.co.uk","risky","catch_all","no","yes"
"Cain of Heswall Ltd","https://www.cainofheswall.co.uk/","post@cainofheswall.co.uk","good","ok","no","yes"
"Castle Printwear","https://www.castleprintwear.co.uk/","hello@castleprintwear.co.uk","risky","catch_all","no","yes"
"CC Uniforms","https://www.ccuniforms.co.uk/","info@ccuniforms.co.uk","risky","catch_all","no","yes"
"Charles Kirk & Co Ltd","http://www.charleskirk.co.uk/","info@charleskirk.co.uk","risky","catch_all","no","yes"
"Classworx Ltd","https://classworx.co.uk/","uniform@classworx.co.uk","good","ok","no","no"
"Clive Mark Schoolwear Ltd","https://www.clivemark.co.uk/","developers@little.agen","bad","invalid","no","yes"
"Corporate Wear Ltd/ Redoak Roller","https://www.redoakroller.co.uk/","shop@redoak-schooluniform.co.uk","risky","catch_all","no","yes"
"County Sports & Schoolwear","https://www.countyschoolwear.co.uk/","info@countyschoolwear.co.uk","good","ok","no","yes"
"Dancers Ltd","https://www.dancersltd.co.uk/","dancersltd@gmail.com","good","ok","yes","no"
"David Luke Ltd","https://www.davidluke.com/","info@davidluke.com","risky","catch_all","no","yes"
"Daw's Clothing Company Ltd","https://dawsclothing.co.uk/","info@dawsclothing.co.uk","risky","catch_all","no","yes"
"Deane & Sons Ltd","https://www.deanesofcheddar.co.uk/","menswear@vencida.com","good","ok","no","no"
"DP Sportswear","http://www.dpsportswear.co.uk/","info@dpsportswear.co.uk","risky","catch_all","no","yes"
"Ellis Scott Schoolwear","https://ellisscott.co.uk/","enquiry@ellisscott.co.uk","good","ok","no","yes"
"Emblematic Ltd","https://emblematic.co.uk","info@emblematic.co.uk","risky","catch_all","no","yes"
"Embroidery Badge UK Ltd - (Netdigitizing UK Ltd)","http://netdigitizing.co.uk/","your@mail.com","bad","invalid","yes","no"
"Equilibrium Supply Chain Ltd","https://www.equilibriumsupplychain.co.uk/about","info@equilibriumsupplychain.co.uk/about","bad","invalid","no","no"
"Express Uniform Ltd","https://www.expressuniform.co.uk/","contact@expressuniform.co.uk","risky","catch_all","no","yes"
"F R Monkhouse Ltd","http://www.monkhouse.com","web@monkhouse.com","risky","catch_all","no","yes"
"Falcon Sportswear Ltd","https://falconsportswear.co.uk","webenquiry@falconsports.co.uk","good","ok","no","no"
"Fashion Master Ltd T/A Cunninghams EPOS Group","https://www.fashionmaster.co.uk/","support@fashionmaster.co.uk","risky","catch_all","no","yes"
"First4Uniform Sussex","https://www.first4uniform.com/","info@first4uniform.com","bad","invalid","no","yes"
"Fletchersports (1989) Ltd","https://www.fletchersports.co.uk/","fletchersports@hotmail.com","good","ok","yes","no"
"Fosters Schoolwear Ltd","https://www.fostersschoolwear.co.uk/","info@fostersschoolwear.co.uk","good","ok","no","yes"
"Funky T-shirt/Crested Schoolwear","https://www.crestedschoolwear.co.uk/","info@crestedschoolwear.co.uk","risky","catch_all","no","yes"
"G & S By Valentino Ltd","http://www.valentinoschoolwear.com","info@valentinoschoolwear.com","good","ok","no","yes"
"Gamble & Gunn","https://gambleandgunn.com/","info@gambleandgunn.com","good","ok","no","yes"
"Gardiner Bros & Co Ltd","https://www.gardinerbros.co.uk/","enquiries@gardinerbros.co.uk","good","ok","no","yes"
"Halbro Sportswear Ltd","https://halbro.com/","info@halbro.com","good","ok","no","yes"
"Hamilton's Schoolwear & Embroidery (B & D Corporation Ltd)","https://hamiltons.biz/","info@hamiltons.biz","risky","catch_all","no","yes"
"Harrisons Schoolswear","https://hschoolwear.co.uk/","hschoolwear@aol.com","good","ok","yes","no"
"Icon Clothing M/c Ltd","https://iconsports.co.uk/","sales@iconsports.co.uk","risky","catch_all","no","yes"
"Identity Co Ltd","https://www.identity.co.uk/","embroidery@identity.co.uk","risky","catch_all","no","no"
"Impressions Uniform","https://impressionsuniform.co.uk/","info@impressionsuniform.co.uk","good","ok","no","yes"
"Ink Original Sportswear","https://inkoriginal.co.uk/","info@inkoriginal.co.uk","bad","invalid","no","yes"
"Kids-Biz Limited","https://kidsbiz.co.uk/","webshop@kidsbiz.co.uk","risky","catch_all","no","no"
"Kitted Out Schoolwear Ltd","https://www.kittedoutschoolwear.co.uk/","info@kittedoutschoolwear.co.uk","risky","catch_all","no","yes"
"KT Textiles Ltd","https://www.kttextiles.co.uk/","enquiries@kttextiles.co.uk","risky","catch_all","no","yes"
"Linela Embroidery Limited","https://www.linelashop.co.uk/","enquries@linela.co.uk","bad","invalid","no","yes"
"Loyal & Sons Ltd","https://loyalandsons.com/","info@loyalandsons.com","bad","invalid","no","yes"
"Macey Sports Ltd","https://www.maceysports.co.uk/","info@maceysports.co.uk","good","ok","no","yes"
"Marathon Bags Ltd","https://www.marathonbags.co.uk/","sales@marathonbags.co.uk","good","ok","no","yes"
"MDG Sports","https://www.mdgsports.co.uk/","info@mdgsports.co.uk","bad","invalid","no","yes"
"Michael Sehgal & Sons Ltd","https://www.michaelsehgal.co.uk/","info@michaelsehgal.co.uk","bad","invalid","no","yes"
"My Embroidery Supplies","https://www.myembroiderysupplies.co.uk/","sales@myembroiderysupplies.co.uk","good","ok","no","yes"
"My Uniform Limited","https://myuniformltd.co.uk/","info@myuniformltd.co.uk","risky","catch_all","no","yes"
"Navico Textiles","https://www.navicotextiles.com/","info@navicotextiles.com","risky","unknown","no","yes"
"NextGen Clothing Ltd/Schoolshop","https://school-shop.co.uk/","info@school-shop.co.uk","bad","invalid","no","yes"
"Nu:Uniform","https://www.nuuniforms.com/","info@nuuniforms.com","good","ok","no","yes"
"One+All","https://oneandall.co.uk/","theteam@oneandall.co.uk","good","ok","no","yes"
"Pages Schoolwear","https://pages-schoolwear.co.uk/","info@pages-schoolwear.co.uk","good","ok","no","yes"
"Panache Schoolwear Ltd","http://www.panacheschoolwear.co.uk/","info@panacheschoolwear.co.uk","bad","invalid","no","yes"
"Perry Uniform","https://www.perryuniform.co.uk/","info@perryuniform.co.uk","risky","catch_all","no","yes"
"Rawcliffes Leeds Ltd","https://www.rawcliffesleeds.co.uk/","customer.service@rawcliffesleeds.co.uk","good","ok","no","yes"
"S and H Schoolwear & Sports","http://www.sandhschoolwearandsports.co.uk/","info@sandhschoolwearandsports.co.uk","good","ok","no","yes"
"S Simmonds & Son","https://www.simmonds-ltd.com/","customerservice@simmonds-ltd.com","good","ok","no","yes"
"School Bells","https://www.schoolbellsuniforms.co.uk/","info@schoolbellsuniforms.co.uk","good","ok","no","yes"
"School I.D. LLP","https://school-id.co.uk/","info@school-id.co.uk","risky","catch_all","no","yes"
