Email,result,datID,EmailDomain,NamingFormat
head@5dimensionstrust.com,invalid,65090,5dimensionstrust.com,1
head@aasp.dsat.education,invalid,77035,aasp.dsat.education,1
head@aatrust.co.uk,invalid,59274,aatrust.co.uk,1
head@abberleyhall.co.uk,catch_all,72291,abberleyhall.co.uk,1
head@abbey.sutton.sch.uk,catch_all,65873,abbey.sutton.sch.uk,1
head@abbeyacademies.co.uk,invalid,64691,abbeyacademies.co.uk,1
head@abbeycambridge.co.uk,invalid,62500,abbeycambridge.co.uk,1
head@abbeyfed.darlington.sch.uk,invalid,65219,abbeyfed.darlington.sch.uk,1
head@abbeygatesfc.ac.uk,invalid,67549,abbeygatesfc.ac.uk,1
head@abbeygrangeacademy.co.uk,invalid,65306,abbeygrangeacademy.co.uk,1
head@abbeyhill.edin.sch.uk,invalid,81680,abbeyhill.edin.sch.uk,1
head@abbeymanchester.co.uk,invalid,60394,abbeymanchester.co.uk,1
head@abbeymead.gloucs.sch.uk,ok,69498,abbeymead.gloucs.sch.uk,1
head@abbeymeads.swindon.sch.uk,ok,65795,abbeymeads.swindon.sch.uk,1
head@abbeyparkfirst.worcs.sch.uk,ok,72177,abbeyparkfirst.worcs.sch.uk,1
head@abbeyparkmiddle.worcs.sch.uk,ok,72195,abbeyparkmiddle.worcs.sch.uk,1
head@abbeyparkschool.org.uk,invalid,63524,abbeyparkschool.org.uk,1
head@abbeyroadprimary.co.uk,ok,70412,abbeyroadprimary.co.uk,1
head@abbeyschool.com,ok,70255,abbeyschool.com,1
head@abbeyschoolfaversham.co.uk,invalid,77612,abbeyschoolfaversham.co.uk,1
head@abbeysprimary.org,invalid,64355,abbeysprimary.org,1
head@abbot-alphege.org.uk,invalid,62663,abbot-alphege.org.uk,1
head@abbotbeyne.staffs.sch.uk,invalid,78575,abbotbeyne.staffs.sch.uk,1
head@abbotshall.suffolk.sch.uk,ok,70241,abbotshall.suffolk.sch.uk,1
head@abbotshall.thurrock.sch.uk,catch_all,71375,abbotshall.thurrock.sch.uk,1
head@abbotshill.herts.sch.uk,ok,72639,abbotshill.herts.sch.uk,1
head@abbotsway.co.uk,invalid,70282,abbotsway.co.uk,1
head@abbotsweld.netacademies.net,ok,76878,abbotsweld.netacademies.net,1
head@abercornschool.com,ok,55595,abercornschool.com,1
head@aberdeenshire.gov.uk,invalid,81000,aberdeenshire.gov.uk,1
head@abingdonhouseschool.co.uk,invalid,60976,abingdonhouseschool.co.uk,1
head@abp.wwpat.org,invalid,59316,abp.wwpat.org,1
head@abrahammoss.manchester.sch.uk,invalid,60381,abrahammoss.manchester.sch.uk,1
head@abraracademy.com,invalid,61376,abraracademy.com,1
head@academy360.co.uk,invalid,63293,academy360.co.uk,1
head@academystjames.com,invalid,57919,academystjames.com,1
head@academytransformation.co.uk,invalid,78902,academytransformation.co.uk,1
head@acb.beds.sch.uk,invalid,71217,acb.beds.sch.uk,1
head@acexcellence.co.uk,invalid,62968,acexcellence.co.uk,1
head@acklam.outwood.com,invalid,71547,acklam.outwood.com,1
head@acomb.northumberland.sch.uk,invalid,77733,acomb.northumberland.sch.uk,1
head@acomb.pmat.academy,ok,59262,acomb.pmat.academy,1
head@acornacademy.org,invalid,74623,acornacademy.org,1
head@acornjubileeschool.co.uk,invalid,61063,acornjubileeschool.co.uk,1
head@acornmanorhouseschool.co.uk,invalid,58421,acornmanorhouseschool.co.uk,1
head@acreshill.sheffield.sch.uk,invalid,57718,acreshill.sheffield.sch.uk,1
head@actfast-nl.co.uk,invalid,63285,actfast-nl.co.uk,1
head@activatelearning.ac.uk,invalid,60752,activatelearning.ac.uk,1
head@ada.ac.uk,invalid,57712,ada.ac.uk,1
head@adalovelace.org.uk,invalid,63505,adalovelace.org.uk,1
head@addeystanhope.co.uk,invalid,55318,addeystanhope.co.uk,1
head@addingtonvalley.org,invalid,70192,addingtonvalley.org,1
head@addison.lbhf.sch.uk,ok,55048,addison.lbhf.sch.uk,1
head@adm.eastern-mat.co.uk,invalid,62902,adm.eastern-mat.co.uk,1
head@admin.astleysaintstephens.wigan.sch.uk,catch_all,61638,admin.astleysaintstephens.wigan.sch.uk,1
head@admin.athertonsacredheart.wigan.sch.uk,catch_all,61652,admin.athertonsacredheart.wigan.sch.uk,1
head@admin.boothstownholyfamily.wigan.sch.uk,catch_all,61656,admin.boothstownholyfamily.wigan.sch.uk,1
head@admin.bryngates.wigan.sch.uk,invalid,61602,admin.bryngates.wigan.sch.uk,1
head@admin.cansfield.wigan.sch.uk,invalid,61668,admin.cansfield.wigan.sch.uk,1
head@admin.chowbent.wigan.sch.uk,catch_all,61620,admin.chowbent.wigan.sch.uk,1
head@admin.deanery.wigan.sch.uk,invalid,61672,admin.deanery.wigan.sch.uk,1
head@admin.gildedhollins.wigan.sch.uk,invalid,61615,admin.gildedhollins.wigan.sch.uk,1
head@admin.golborneallsaints.wigan.sch.uk,invalid,61657,admin.golborneallsaints.wigan.sch.uk,1
head@admin.hindleygreensacredheart.wigan.sch.uk,invalid,58337,admin.hindleygreensacredheart.wigan.sch.uk,1
head@admin.hindsford.wigan.sch.uk,invalid,61619,admin.hindsford.wigan.sch.uk,1
head@admin.landgate.wigan.sch.uk,invalid,60800,admin.landgate.wigan.sch.uk,1
head@admin.leighceprimary.wigan.sch.uk,invalid,59562,admin.leighceprimary.wigan.sch.uk,1
head@admin.leighsaintpeters.wigan.sch.uk,catch_all,61387,admin.leighsaintpeters.wigan.sch.uk,1
head@admin.leighsaintthomas.wigan.sch.uk,invalid,61622,admin.leighsaintthomas.wigan.sch.uk,1
head@admin.leighstjohnsprimary.wigan.sch.uk,catch_all,61666,admin.leighstjohnsprimary.wigan.sch.uk,1
head@admin.lowtonsaintcatherines.wigan.sch.uk,catch_all,61659,admin.lowtonsaintcatherines.wigan.sch.uk,1
head@admin.lowtonwest.wigan.sch.uk,invalid,61612,admin.lowtonwest.wigan.sch.uk,1
head@admin.meadowbank.wigan.sch.uk,invalid,61609,admin.meadowbank.wigan.sch.uk,1
head@admin.millbrook.wigan.sch.uk,invalid,61617,admin.millbrook.wigan.sch.uk,1
head@admin.newbridge.wigan.sch.uk,invalid,61098,admin.newbridge.wigan.sch.uk,1
head@admin.newfold.wigan.sch.uk,invalid,61601,admin.newfold.wigan.sch.uk,1
head@admin.orrellsaintjames.wigan.sch.uk,catch_all,61647,admin.orrellsaintjames.wigan.sch.uk,1
head@admin.parklee.wigan.sch.uk,invalid,61610,admin.parklee.wigan.sch.uk,1
head@admin.rowantree.wigan.sch.uk,catch_all,58486,admin.rowantree.wigan.sch.uk,1
head@admin.saintaidans.wigan.sch.uk,invalid,61628,admin.saintaidans.wigan.sch.uk,1
head@admin.saintambrosebarlow.wigan.sch.uk,invalid,61662,admin.saintambrosebarlow.wigan.sch.uk,1
head@admin.saintbernadettes.wigan.sch.uk,catch_all,61660,admin.saintbernadettes.wigan.sch.uk,1
head@admin.saintcatharines.wigan.sch.uk,catch_all,61629,admin.saintcatharines.wigan.sch.uk,1
head@admin.saintdavids.wigan.sch.uk,invalid,66165,admin.saintdavids.wigan.sch.uk,1
head@admin.saintgeorges.wigan.sch.uk,invalid,59354,admin.saintgeorges.wigan.sch.uk,1
head@admin.saintjohns.wigan.sch.uk,invalid,61624,admin.saintjohns.wigan.sch.uk,1
head@admin.saintmarks.wigan.sch.uk,invalid,59330,admin.saintmarks.wigan.sch.uk,1
head@admin.saintpetershigh.wigan.sch.uk,invalid,61674,admin.saintpetershigh.wigan.sch.uk,1
head@admin.saintrichards.wigan.sch.uk,invalid,61651,admin.saintrichards.wigan.sch.uk,1
head@admin.shevingtonvale.wigan.sch.uk,invalid,61613,admin.shevingtonvale.wigan.sch.uk,1
head@admin.standishchs.wigan.sch.uk,invalid,57893,admin.standishchs.wigan.sch.uk,1
head@admin.westfield.wigan.sch.uk,invalid,60909,admin.westfield.wigan.sch.uk,1
head@admin.westleighsaintpauls.wigan.sch.uk,invalid,61637,admin.westleighsaintpauls.wigan.sch.uk,1
head@admin.winstanley.wigan.sch.uk,invalid,61600,admin.winstanley.wigan.sch.uk,1
head@admin.worsleymesnes.wigan.sch.uk,invalid,61598,admin.worsleymesnes.wigan.sch.uk,1
head@adoservices.co.uk,invalid,75251,adoservices.co.uk,1
head@adwick.outwood.com,invalid,62442,adwick.outwood.com,1
head@aggs.bright-futures.co.uk,catch_all,65483,aggs.bright-futures.co.uk,1
head@agprimary.org.uk,ok,56616,agprimary.org.uk,1
head@agps.org.uk,ok,77920,agps.org.uk,1
head@ahavastorah.org.uk,invalid,73723,ahavastorah.org.uk,1
head@ahps.bfet.uk,invalid,70870,ahps.bfet.uk,1
head@ahs.bucks.sch.uk,invalid,65092,ahs.bucks.sch.uk,1
head@aimhigh.co.uk,invalid,74196,aimhigh.co.uk,1
head@aimnorthlondon.org.uk,invalid,69938,aimnorthlondon.org.uk,1
head@ainderby.dalesmat.org,invalid,59177,ainderby.dalesmat.org,1
head@aipeterhouse.org,ok,59117,aipeterhouse.org,1
head@airedaleacademy.com,invalid,64906,airedaleacademy.com,1
head@airmynparkps.co.uk,ok,63388,airmynparkps.co.uk,1
head@ajs.hants.sch.uk,invalid,72060,ajs.hants.sch.uk,1
head@akeleywoodschool.co.uk,invalid,64423,akeleywoodschool.co.uk,1
head@akroydon.trinitymat.org,invalid,57814,akroydon.trinitymat.org,1
head@akslytham.com,invalid,75813,akslytham.com,1
head@alanbrookeacademy.org,invalid,70470,alanbrookeacademy.org,1
head@alaqsaschool.co.uk,invalid,60936,alaqsaschool.co.uk,1
head@albanyvillageprimary.org.uk,catch_all,58374,albanyvillageprimary.org.uk,1
head@albemarle.wandsworth.sch.uk,ok,55497,albemarle.wandsworth.sch.uk,1
head@albertpye.suffolk.sch.uk,ok,57669,albertpye.suffolk.sch.uk,1
head@albertthegreat.herts.sch.uk,ok,72601,albertthegreat.herts.sch.uk,1
head@alburhan.org.uk,invalid,60719,alburhan.org.uk,1
head@albury.herts.sch.uk,ok,72556,albury.herts.sch.uk,1
head@alcestergs.com,invalid,64915,alcestergs.com,1
head@alchemyschools.co.uk,invalid,66325,alchemyschools.co.uk,1
head@aldborough.net,invalid,65175,aldborough.net,1
head@aldenham.com,ok,72641,aldenham.com,1
head@alderbrook.wandsworth.sch.uk,ok,55472,alderbrook.wandsworth.sch.uk,1
head@aldercar-inf.derbyshire.sch.uk,invalid,66140,aldercar-inf.derbyshire.sch.uk,1
head@aldergrove.wokingham.sch.uk,ok,70181,aldergrove.wokingham.sch.uk,1
head@aldermanpeel.norfolk.sch.uk,ok,62954,aldermanpeel.norfolk.sch.uk,1
head@alderwood.hants.sch.uk,invalid,71872,alderwood.hants.sch.uk,1
head@aldgroup.co.uk,invalid,62991,aldgroup.co.uk,1
head@aldington.kent.sch.uk,invalid,72959,aldington.kent.sch.uk,1
head@aldridgeschool.org,invalid,68029,aldridgeschool.org,1
head@aldrington.brighton-hove.sch.uk,ok,69090,aldrington.brighton-hove.sch.uk,1
head@aldro.org,ok,55890,aldro.org,1
head@aldwyn.tameside.sch.uk,ok,61492,aldwyn.tameside.sch.uk,1
head@alexandra.hounslow.sch.uk,ok,74541,alexandra.hounslow.sch.uk,1
head@alexandra-school.co.uk,ok,73802,alexandra-school.co.uk,1
head@alexprimary.haringey.sch.uk,ok,56489,alexprimary.haringey.sch.uk,1
head@alfalahschool.org.uk,invalid,59029,alfalahschool.org.uk,1
head@alfredsalter.com,invalid,55363,alfredsalter.com,1
head@alfredsutton.reading.sch.uk,ok,64019,alfredsutton.reading.sch.uk,1
head@alhudaprimary.co.uk,invalid,70899,alhudaprimary.co.uk,1
head@alicemodel.towerhamlets.sch.uk,ok,55404,alicemodel.towerhamlets.sch.uk,1
head@allangelsfederation.org.uk,ok,73721,allangelsfederation.org.uk,1
head@allenbournmiddle.org,invalid,77174,allenbournmiddle.org,1
head@allenby.ealing.sch.uk,invalid,56636,allenby.ealing.sch.uk,1
head@alleyn-court.co.uk,ok,69394,alleyn-court.co.uk,1
head@allfarthing.wandsworth.sch.uk,ok,55473,allfarthing.wandsworth.sch.uk,1
head@allhallows.lancs.sch.uk,ok,75792,allhallows.lancs.sch.uk,1
head@allhallows.org.uk,ok,70999,allhallows.org.uk,1
head@allonby.cumbria.sch.uk,ok,66720,allonby.cumbria.sch.uk,1
head@all-saints.bolton.sch.uk,ok,60225,all-saints.bolton.sch.uk,1
head@allsaints.bwmat.org,invalid,58015,allsaints.bwmat.org,1
head@allsaints.lewisham.sch.uk,invalid,55297,allsaints.lewisham.sch.uk,1
head@allsaints.npcat.org.uk,ok,69688,allsaints.npcat.org.uk,1
head@all-saints.oxon.sch.uk,invalid,78129,all-saints.oxon.sch.uk,1
head@allsaints.reading.sch.uk,ok,64112,allsaints.reading.sch.uk,1
head@allsaints.suffolk.sch.uk,ok,65806,allsaints.suffolk.sch.uk,1
head@allsaints.wandsworth.sch.uk,ok,55498,allsaints.wandsworth.sch.uk,1
head@allsaints.ycway.uk,invalid,77487,allsaints.ycway.uk,1
head@allsaints.york.sch.uk,invalid,75517,allsaints.york.sch.uk,1
head@allsaints-academy.co.uk,invalid,69680,allsaints-academy.co.uk,1
head@allsaintsacademy.norfolk.sch.uk,ok,76928,allsaintsacademy.norfolk.sch.uk,1
head@allsaintsbedworth.covmat.org,ok,70545,allsaintsbedworth.covmat.org,1
head@allsaintsbenhilton.org.uk,invalid,57232,allsaintsbenhilton.org.uk,1
head@allsaintscarshalton.sutton.sch.uk,invalid,62835,allsaintscarshalton.sutton.sch.uk,1
head@allsaintscc.org.uk,invalid,55156,allsaintscc.org.uk,1
head@allsaintsce.lbhf.sch.uk,ok,55059,allsaintsce.lbhf.sch.uk,1
head@allsaintscofe.leics.sch.uk,ok,65702,allsaintscofe.leics.sch.uk,1
head@allsaints-fleet.hants.sch.uk,invalid,71978,allsaints-fleet.hants.sch.uk,1
head@allsaints-fordham.essex.sch.uk,catch_all,69282,allsaints-fordham.essex.sch.uk,1
head@allsaints-harwich.essex.sch.uk,invalid,69345,allsaints-harwich.essex.sch.uk,1
head@allsaintshorsham.school,ok,58978,allsaintshorsham.school,1
head@allsaintsilkley.bradford.sch.uk,catch_all,61875,allsaintsilkley.bradford.sch.uk,1
head@allsaintsmat.school,invalid,78732,allsaintsmat.school,1
head@allsaintsn20.barnetmail.net,invalid,55683,allsaintsn20.barnetmail.net,1
head@allsaints-pri.hants.sch.uk,invalid,71949,allsaints-pri.hants.sch.uk,1
head@allsaints-pri.northants-ecl.gov.uk,ok,77691,allsaints-pri.northants-ecl.gov.uk,1
head@allsaints-pri.stockport.sch.uk,invalid,61437,allsaints-pri.stockport.sch.uk,1
head@allsaintsprimary.org,catch_all,79658,allsaintsprimary.org,1
head@allsaintsprimaryschoolmaldon.co.uk,invalid,69296,allsaintsprimaryschoolmaldon.co.uk,1
head@allsaints-tilford.surrey.sch.uk,ok,54810,allsaints-tilford.surrey.sch.uk,1
head@alma-primary.org.uk,invalid,65713,alma-primary.org.uk,1
head@almumin.bradford.sch.uk,invalid,60831,almumin.bradford.sch.uk,1
head@alne.outwood.com,invalid,70555,alne.outwood.com,1
head@al-noorprimary.co.uk,invalid,60783,al-noorprimary.co.uk,1
head@alns.co.uk,invalid,74294,alns.co.uk,1
head@alpha.harrow.sch.uk,invalid,56837,alpha.harrow.sch.uk,1
head@alptrust.co.uk,invalid,58367,alptrust.co.uk,1
head@alresford.essex.sch.uk,invalid,69175,alresford.essex.sch.uk,1
head@alsagersbank.org.uk,invalid,74895,alsagersbank.org.uk,1
head@alstonlane.lancs.sch.uk,ok,75692,alstonlane.lancs.sch.uk,1
head@alternativecentreofeducation.org,invalid,79274,alternativecentreofeducation.org,1
