"Email","quality","result","free","role","datID"
"headmaster@5dimensionstrust.com","bad","invalid","no","yes","65090"
"headmaster@aasp.dsat.education","bad","invalid","no","yes","77035"
"headmaster@aatrust.co.uk","bad","invalid","no","yes","59274"
"headmaster@abbeyacademies.co.uk","bad","invalid","no","yes","64691"
"headmaster@abbeycambridge.co.uk","bad","invalid","no","yes","62500"
"headmaster@abbeyfed.darlington.sch.uk","bad","invalid","no","yes","65219"
"headmaster@abbeygatesfc.ac.uk","bad","invalid","no","yes","67549"
"headmaster@abbeygrangeacademy.co.uk","bad","invalid","no","yes","65306"
"headmaster@abbeyhill.edin.sch.uk","bad","invalid","no","yes","81680"
"headmaster@abbeymanchester.co.uk","bad","invalid","no","yes","60394"
"headmaster@abbeyparkschool.org.uk","bad","invalid","no","yes","63524"
"headmaster@abbeyschoolfaversham.co.uk","bad","invalid","no","yes","77612"
"headmaster@abbeysprimary.org","bad","invalid","no","yes","64355"
"headmaster@abbot-alphege.org.uk","bad","invalid","no","yes","62663"
"headmaster@abbotbeyne.staffs.sch.uk","bad","invalid","no","yes","78575"
"headmaster@abbotsway.co.uk","bad","invalid","no","yes","70282"
"headmaster@aberdeenshire.gov.uk","bad","invalid","no","yes","81000"
"headmaster@abingdonhouseschool.co.uk","bad","invalid","no","yes","60976"
"headmaster@abp.wwpat.org","bad","invalid","no","yes","59316"
"headmaster@abrahammoss.manchester.sch.uk","bad","invalid","no","yes","60381"
"headmaster@abraracademy.com","bad","invalid","no","yes","61376"
"headmaster@academy360.co.uk","bad","invalid","no","yes","63293"
"headmaster@academystjames.com","bad","invalid","no","yes","57919"
"headmaster@academytransformation.co.uk","bad","invalid","no","yes","78902"
"headmaster@acb.beds.sch.uk","bad","invalid","no","yes","71217"
"headmaster@acexcellence.co.uk","bad","invalid","no","yes","62968"
"headmaster@acklam.outwood.com","bad","invalid","no","yes","71547"
"headmaster@acomb.northumberland.sch.uk","bad","invalid","no","yes","77733"
"headmaster@acornacademy.org","bad","invalid","no","yes","74623"
"headmaster@acornjubileeschool.co.uk","bad","invalid","no","yes","61063"
"headmaster@acornmanorhouseschool.co.uk","bad","invalid","no","yes","58421"
"headmaster@acreshill.sheffield.sch.uk","bad","invalid","no","yes","57718"
"headmaster@actfast-nl.co.uk","bad","invalid","no","yes","63285"
"headmaster@activatelearning.ac.uk","bad","invalid","no","yes","60752"
"headmaster@ada.ac.uk","bad","invalid","no","yes","57712"
"headmaster@adalovelace.org.uk","bad","invalid","no","yes","63505"
